"Bill of Material for "
"On 2016/11/22 at 20:14:34"

"Comment","Pattern","Quantity","Components"

"","HDR1X3","2","P2, P3","Header, 3-Pin"
"0.01uF","0603","1","C20","ceramic"
"0.1uF","0603","9","C1, C4, C8, C10, C12, C15, C16, C17, C23","ceramic"
"100K","0603","1","R15",""
"100R","0603","2","R8, R9",""
"100uF/16V","CAPM-7.0*4.5","1","C21","aluminum"
"10K","0603","3","R2, R6, R11",""
"10uF/16V","CAPM-5.5*3.3","2","C22, C24","aluminum"
"10uF","0603","4","C2, C3, C9, C11","ceramic"
"12MHZ","12Mhz-DFN","1","X1",""
"15uH","7*7*4-15uH","1","L5",""
"1N4007","DO214-AC","2","D2, D3",""
"220uF","CAPM-7.0*4.5","1","C19","aluminum"
"22pF","0603","2","C5, C6","ceramic"
"3.24K","0603","1","R12",""
"3.3K","0603","1","R10",""
"330R","0603","3","R4, R5, R7",""
"4.7uF","0603","1","C7","ceramic"
"470","0603","1","R1",""
"470R","0603","1","R13",""
"510R","0603","1","R3",""
"560pF","0603","2","C13, C14","ceramic"
"820R","0603","1","R14",""
"B340A","DO214-AC","1","D1",""
"Debug","JATG_10pin","1","P1",""
"downloader","HDR1X4","1","P4","Header, 4-Pin"
"HM-13","HM-13","1","U1",""
"IMP809TEUR-T","SOT23-3","1","U9",""
"LED","0805","4","L1, L2, L3, L4",""
"LM317L","LM317L","1","U7",""
"LPC1549","LPC1549JBD48","1","U4",""
"MC33660EFR2","SOP-8","1","U5",""
"MicroUSB","Micro-USB","1","U8",""
"OBD-Connector","OBD-MaleConnector","1","U2",""
"TJF1051T / 3","TJF1051","1","U3",""
"TPS5430","TPS5430","1","U6",""
